Title,City,Country_code,Marker_icon,Workplace_type,Experience_level,Published_at,Remote_interview,Remote,Company_size_from,Company_size_to,salary_from_permanent,salary_to_permanent,salary_currency_permanent,skills_name_0,skills_value_0,skills_name_1,skills_value_1,skills_name_2,skills_value_2
"Back End Engineer | Operations
Android Engineer
iOS Engineer
Front End Engineer | Demand",Mediolan,IT,php,remote,mid,2022-04-27T09:16:59.224Z,FALSE,TRUE,201,500,13475.14,17192.42,eur,MySQL,3,Python,3,PHP,3
Head of Java Unit,Wilno,LT,java,remote,senior,2022-10-25T11:50:00.000Z,FALSE,TRUE,51,200,30930.25,38068,eur,SQL,3,Software Development,4,Java,4
"Backend Software Engineer
Android Software Engineer
Analytics Engineer, Monetisation",Wilno,LT,ruby,remote,junior,2022-04-26T08:30:22.473Z,TRUE,TRUE,1001,5000,15700.8614,30109.968,eur,Data Structures,3,Functional Programming,3,Software Engineering,3
PHP developer,Esch-sur-Alzette,LU,php,remote,mid,2022-05-17T13:25:06.377Z,TRUE,TRUE,15,20,23441.5,30473.95,eur,Shell,3,Python,3,JavaScript,4
Senior Android Developer,Rotterdam,NL,mobile,partly_remote,senior,2022-03-21T09:00:19.417Z,TRUE,FALSE,20,30,19160,23950,pln,REST,4,Kotlin,4,Android,4
"Software Engineer (Python)
Web Backend Developer (Go)",Amsterdam,NL,python,remote,senior,2022-04-24T07:00:18.624Z,TRUE,TRUE,51,200,21765.97339,30472.36275,usd,Kubernetes,2,Java,4,Python,4
Software Engineer,Oslo,NO,python,remote,senior,2022-04-19T07:00:34.768Z,TRUE,TRUE,11,50,15487.1178,27103.6178,eur,Node.js,4,C++,4,Python,4
Lead Product Designer,Måløy,NO,ux,remote,senior,2022-06-22T14:37:57.461Z,TRUE,TRUE,50,100,38000,44000,pln,Lead,5,Figma,5,English,5
"Technical Team Leader
Senior Fullstack Developer
Senior React Developer
Business Analyst
Java Developer
Frontend Developer
IT Server Specialist
Android Developer Mid/Senior
Java Developer (Mid)
.NET Developer
Technical Support with German
Frontend Developer
Junior C# Developer
E-learning developer
E-learning developer
E-learning developer
Junior Service Specialist
Tester oprogramowania
Junior PHP Developer (Staż/Intern)
Data Scientist / ML Engineer
Full stack developer (React.js + Node.js/Python) / Tech Lead
Frontend developer (React)
Data scientist
Full Stack Developer - Web Developer
Full Stack Developer - Web Developer
Junior Data Analyst
IT Support with French/Dutch
(Junior) Banking Operations Specialist
IT Support with German
Senior Data Engineer
Data / Enterprise Architect
Senior Embedded C++ Developer
AUTOSAR Engineer
C++ Software Engineer (CAD/CAM)
C++ / C# Engineer
Embedded Software Engineer
Senior Java Developer
Senior PHP Developer
Software Engineer C#/C++/C
Golang Developer
C++ / C# Engineer
C++ Engineer
System Testing Engineer
Senior Java Developer
C# .NET Developer
Experienced DevOps Engineer (Kubernetes)
Data Architect (DWH/ETL)
Senior Flutter Developer
DevOps Engineer
.NET/C# Developer
Mid Java Developer
Vue.js dev to be Fullstack
Vue.js dev to be Fullstack
Python Developer
Web Developer
Backend Developer
UI/UX Designer
Frontend Developer
Test Engineer
Junior Software Engineer
Junior Embedded Developer
Technical Support Engineer
IT Solutions Developer (SQL)
Junior Vue.js dev to be Fullstack
Junior Vue.js dev to be Fullstack
PROGRAMISTA PHP
Front-end Developer
Junior Frontend Developer (React)
Junior Frontend Developer (React)
Remote IT Technical Support with German
Magento 2 Junior Backend Developer
Junior Frontend Developer - React, TS
Tester/Opiekun klienta/Wsparcie handlowe
IT Technical Support with Spanish
Junior Web Developer
FullStack Developer (Python)
Senior Big Data Engineer
Senior BI Developer
React Frontend Developer
Performance Tests Automation Engineer
Automation Test Engineer (QA)
DWH Developer
ServiceNow Developer
Microsoft Dynamics 365 Support Engineer
Support Engineer L2 (SQL, IIS)
Application Administrator
Junior SysOp / SysOp
Konsultant techniczny (IT Helpdesk)",Warszawa,PL,java,partly_remote,senior,2022-05-16T11:56:10.993Z,TRUE,FALSE,1,10,30000,38000,pln,TDD,4,Java,5,Scrum,5
"DevOps Engineer
Magento Developer (Middle, Senior)
Business Relationship / Matching Manager
Junior Developer/Support Engineer
Junior React Developer
React.js developer (regular)
UX/UI Designer (regular)",Warszawa,PL,devops,remote,mid,2022-07-01T09:43:00.000Z,TRUE,TRUE,1,5,17000,34000,pln,CI/CD,4,Kubernetes,4,Docker,4
"Middle/Senior Full Stack Developer
Frontend Developer
Programista PHP/Laravel | Jun/Mid | etat
FRONTEND DEVELOPER (ANGULAR)
PHP Backend Developer",Kraków,PL,javascript,remote,mid,2022-10-01T13:00:09.924Z,TRUE,TRUE,1,9,16000,26000,pln,React,3,JavaScript,3,TypeScript,3
"Senior iOS Developer (Poland/remote)
System Administrator
Node.js Developer
Development Manager
Data Analyst
Java Developer
Head Of Data Engineering
Team Lead Frontend Developer
Data Engineer
Data Engineer
Senior Node.js developer
Senior Full Stack Developer
Java Developer Multi-Project Consultant
Full-Stack Engineer (React, Node.js)
Frontend Developer
Full Stack Developer
iOS Developer
Ruby Developer
Full Stack Developer
Software Engineer
Software Engineer
Java Team Lead
Frontend Chapter Lead
Mobile Team Lead
Senior Full Stack Engineer
AWS DevOps Engineer
QA Automation Expert
Agile Coach Lead
Senior Android Developer
Angular Developer_ka z mindsetem DevOps
Software Engineer with AWS
Senior Full Stack Engineer
Agile Coach
Senior Data Quality Analyst
Mid Frontend Developer (JavaScript)
Automation Expert
DevOps Engineer
Angular Developer
Back-End Developer
Front-End Developer  (Angular)
Back-End Developer
.Net Developer
Mid Vue.js Developer
Mid Flutter Developer
Office 365 Consultant
Office 365 Consultant - Security
Office 365 Consultant
Azure/SharePoint Developer
Full Stack Web Developer
Fullstack Developer
Fullstack Developer
Agile Coach
QA Automation Engineer II
Power Platform Developer
Workday Analyst
Frontend Developer
iOS Developer
Quality Assurance Engineer
Test Automation Engineer
Line Manager
Scrum Master
Product manager
Test Automation Engineer
Head of Project Management
Senior Automation Engineer
Full Stack Developer
Full Stack Developer
Full Stack Developer
Mid Angular Developer
QA Automation Engineer (Mobile)
Agile Project Manager
UI Designer
Frontend Developer (VUE.JS)
Specjalista ds. bezpieczeństwa IT
Specjalista ds. bezpieczeństwa IT
Scrum Master
Linux System Administrator / SysOps
Linux System Administrator / SysOps
Linux System Administrator / SysOps
Frontend Developer_ka
Frontend Developer (i coś więcej)
Back-End Developer
Back-End Developer
.Net Developer
QA Automation Engineer I
Test Engineer
Mid PHP Developer
DevOps
Automation Engineer
Frontend Developer
Analityk Biznesowo-Systemowy
PHP Developer_ka
Początkujący Angular Developer
UX/UI Designer
TEST AUTOMATION ENGINEER
UX/UI Designer
QA Engineer
Frontend Developer do Design System
Frontend Developer
Administrator sieci
Junior Android Developer
Junior Fullstack Developer (JavaScript+Node.js)
Specjalista ds. wdrożeń systemów IT
Back-End Developer
Junior PHP Developer_ka
Administrator
IT Support Specialist
Junior Flutter Developer
Junior Vue.js Developer
Software QA Specialist
Software Engineer with AWS
IT Support Specialist
Software Tester (junior/middle)
Młodszy Specjalista ds. IT
IT Support Specialist
Junior PHP Developer
Konsultant Helpdesk
Konsultant Helpdesk
Młodszy Specjalista ds. IT
Android Software Developer
Tech Lead (Customer Success team)
Mid/Senior Product Owner
.Net Software Developer
Project Manager
Frontend Developer
Analityk danych
IT Support Specialist
Mid/Senior Ruby on Rails Developer
Mid/Senior React + TypeScript Developer
Senior Fullstack Software Developer Odoo
Programista PHP
IT Specialist
Lead Front End Developer
Java Tech Lead
Head of Product Design
Senior Frontend Developer
Senior Frontend Developer
Senior .NET Developer
Java Developer
Administrator Sieci Telekomunikacyjnych
Frontend Developer
Frontend Developer
Frontend Developer
Python Developer (future Data Scientist)
DevOps Engineer
DevOps Engineer
Product Manager
Full Stack Developer
Front-End Developer
Quality Assurance Specialist
IT Recruiter
Software Tester
Junior QA Specialist
Junior Tester
IT Administrator
IT Administrator
IT Administrator
Technical Support Engineer
Inżynier Systemowy Linux
Information Compliance Officer
Specjalista ds. przetwarzania danych
IT Support Specialist (1st line) (MID)
Praktyki IT - programista Java",Kraków,PL,mobile,remote,senior,2022-11-13T10:00:10.393Z,FALSE,TRUE,1,100,14000,22000,pln,CI,3,CD,3,iOS,4
".NET Developer
Angular Front End Developer
QA Engineer
QA Engineer
Młodszy Programista Java
Python Developer
DevOps
Java/Blockchain Developer
Java/Blockchain Developer
FrontEnd Developer (Web)
FrontEnd Developer (Web)
FrFrontEnd Developer (Web)
Remote Senior Mobile Developer (Android/iOS)
Senior Developer (Angular/ React)
Remote Senior Java Backend Developer
Senior Back-end JAVA Developer
Architekt rozwiązań
PHP Backend Developer
Starszy Projektant UX/UI
FullStack Developer (Angular, PHP)
FullStack Developer (Angular, PHP)
Senior System Administrator
Atlassian System Administrator
Remote Mid Mobile Developer (Android/iOS)
Mid Developer (Angular/ React)
Remote Mid Java Backend Developer
Starszy Analityk Biznesowo - Systemowy
QA Automation Engineer
Atlassian System Administrator
Release Manager
IT Service Desk System Administrator
Administrator Systemów Windows
Analityk Biznesowo – Systemowy
UX/UI Designer
UX/UI Designer - Mobile
UX/UI Designer (Mobile)
Programista C#",Łódź,PL,net,partly_remote,mid,2022-04-02T17:00:13.108Z,TRUE,FALSE,1,1000,10000,15000,pln,SQL,1,Scala,1,.Net,1
"UI Developer
Angular.js developer
JAVA Developer
JAVA DEVELOPER
Android Developer
Android Developer
PHP Developer
PHP Developer
PHP Developer
PHP Developer
UX / UI Designer
PHP Developer
JAVA DEVELOPER
Angular Web Developer
Programista Python Junior
Junior Frontend Developer
Analityk biznesowo-systemowy
Konsultant ds. wdrożeń systemów ERP
Konsultant ds. systemów ERP - obszar HR
DevOps Ninja
DevOps Wizard
Senior software developer
React Developer
Junior DevOps Engineer
Full-Stack Remote Developer
C++ Developer for Google
Senior Backend Developer - Golang
Backend Engineer (NodeJS)
Application Engineer - Linux/Unix
Application Administrator
Project Manager
Java Developer
Application Management Engineer
Operation Engineer with Linux/Unix
Mid/Senior Full Stack Laravel Vue.js Dev
Application Manager
Application Support Engineer
Senior .Net Developer
Senior .Net Developer
Senior .Net Developer
Python Developer
Mid Front-End developer (JavaScript)
Mid Front-End developer (JavaScript)
Oracle Administrator (DBS Operations)
Java Developer
Product Owner
PHP Developer
.NET Developer
Operations Engineer for Data Processing
Application Administrator (Unix/Linux)
Senior Web QA Automation Engineer
Mid .Net Developer
Senior Web QA Engineer
Mid .Net Developer
ASP.NET Developer
Administrator Systemów
QA Automation Engineer
Programista Backend (PHP)
QA Automation Engineer
QA Automation Engineer
PrestaShop Developer
Business Analyst
Support Engineer
Programista Backend (C#)
Programista Backend (C++/Qt)
Drupal Developer
Drupal Developer
Drupal Developer
PHP Developer
PHP Developer
Frontend developer
Frontend developer
Junior .Net Developer
Junior .Net Developer
Junior .Net Developer
Junior Frontend Developer (Vue.js)
Frontend Developer (Regular/Senior)
PHP Developer
Frontend Web Developer
Frontend Web Developer
Electronics Hardware Production Manager
QA Automation Engineer
Frontend Developer
System Administrator
Junior .NET Developer
Junior .NET Developer
Junior .NET Developer
Frontend Web Developer
Programista Delphi
System Administrator
Junior Java Developer
Junior C# Developer
Junior Magento Developer
Junior Drupal Developer
Junior Shopware Developer
Junior PHP Developer
React Native Developer
Business Customer Support
Junior ecommerce application tester
Help Desk / E-commerce Specialist
Help Desk
Technical Specialist
Technical Specialist
Tester aplikacji mobilnych
Junior Project Manager",Warszawa,PL,ux,partly_remote,junior,2022-06-28T09:08:00.000Z,TRUE,FALSE,1,30,7000,9000,pln,HTML,3,JavaScript,3,CSS,3
"IT Support (German)
Administrator systemów IT
React Developer
Tester automatyzujący
Junior Java Developer
Junior PHP Developer
Project Manager IT
Project Manager IT
Power BI Specialist
Product Designer (UI/UX)
Incident Manager
Programista Baz Danych
Talent Acquisition Specialist
M365 Automation Specialist
Staff Software Engineer, Monetisation
Senior Android Software Engineer
Senior Software Engineer - JS&PHP
Test Automation Engineer",Kraków,PL,support,remote,junior,2022-10-25T05:43:00.000Z,TRUE,TRUE,1,500,6000,8000,pln,IT Support,2,English,3,German,3
