Title,City,Country_code,Marker_icon,Workplace_type,Experience_level,Published_at,Remote_interview,Remote,Open_to_hire_Ukrainians,Company_size_from,Company_size_to,salary_from_permanent,salary_to_permanent,salary_currency_permanent,currency_exchange_rate,skills_name_0,skills_value_0,skills_name_1,skills_value_1,skills_name_2,skills_value_2
Administrator systemów Linux,Warszawa,PL,admin,remote,mid,2022-10-26T12:00:13.035Z,FALSE,TRUE,FALSE,500,0,17000,19000,pln,0,Linux,4,unknown,0,unknown,0
Administrator Baz Danych,Gdańsk,PL,admin,remote,mid,2022-10-26T13:00:10.449Z,TRUE,TRUE,FALSE,500,0,17000,20000,pln,0,MS SQL Server,3,PostgreSQL,5,unknown,0
Power Platform Consultant,Gdańsk,PL,data,partly_remote,mid,2022-06-28T14:51:00.000Z,FALSE,FALSE,FALSE,500,0,17000,20000,pln,0,Power Platform,3,SaaS,3,solution architect,3
Security Operations Analyst,Wrocław,PL,security,remote,mid,2022-06-17T11:29:40.480Z,TRUE,TRUE,FALSE,120,0,17000,24000,pln,0,Network Security,3,Cloud Computing,3,Security Operations,3
Fullstack Developer,Zürich,CH,javascript,remote,mid,2022-04-04T17:00:14.495Z,TRUE,TRUE,TRUE,20,0,17000,20000,pln,0,Redux,4,React,4,Node,4
DevOps Engineer,Kraków,PL,devops,remote,mid,2022-11-10T11:00:14.064Z,TRUE,TRUE,FALSE,100,200,17000,22000,pln,0,Ansible,4,Kubernetes,4,Docker,4
DevOps Engineer,Wrocław,PL,devops,partly_remote,mid,2022-10-27T13:00:00.000Z,TRUE,FALSE,FALSE,100,200,17000,22000,pln,0,Ansible,4,Kubernetes,4,Docker,4
React Native Developer,Warszawa,PL,javascript,office,mid,2022-02-20T07:00:16.795Z,FALSE,FALSE,,100,150,17000,22000,pln,0,XCode,2,JavaScript,3,React Native,3
Lead Data Architect - Market Analytics,Warszawa,PL,data,partly_remote,senior,2022-10-01T11:00:13.742Z,TRUE,FALSE,TRUE,100,0,17000,26000,pln,0,Azure Data Lake,5,Data Engineering,5,Data architecture,5
Senior Data Architect - PS Analytics,Warszawa,PL,data,partly_remote,senior,2022-10-01T11:00:13.742Z,TRUE,FALSE,TRUE,100,0,17000,26000,pln,0,Data & Analytics,5,Data Architect,5,Product Supply Analytics,5
DevOps Engineer (AWS/Azure),Wrocław,PL,devops,remote,senior,2022-04-27T11:00:22.766Z,TRUE,TRUE,TRUE,300,0,17000,20000,pln,0,Azure,2,Python,4,AWS,4
DevOps Engineer (AWS/Azure),Poznań,PL,devops,remote,senior,2022-04-22T10:00:31.462Z,TRUE,TRUE,TRUE,300,0,17000,20000,pln,0,Azure,2,Python,4,AWS,4
Senior/Lead .NET Developer,Gdańsk,PL,net,partly_remote,senior,2022-07-05T14:03:00.000Z,TRUE,FALSE,TRUE,10500,0,17000,30000,pln,0,ASP.NET,4,.NET Core,4,.Net,4
Guidewire Developer,Warszawa,PL,java,partly_remote,senior,2022-07-05T10:46:00.000Z,TRUE,FALSE,TRUE,10500,0,17000,30000,pln,0,Data modeling,3,Gosu,3,Guidewire,4
Senior Golang Developer,Warszawa,PL,go,partly_remote,senior,2022-07-05T10:27:00.000Z,FALSE,FALSE,TRUE,10500,0,17000,27000,pln,0,JavaScript,2,NodeJS,2,Golang,4
Senior Automation Tester,Warszawa,PL,testing,partly_remote,senior,2022-07-05T08:51:00.000Z,TRUE,FALSE,TRUE,11000,0,17000,24000,pln,0,JMeter,4,OOP,4,CI/CD,4
Senior/Lead Java Developer,Warszawa,PL,java,partly_remote,senior,2022-07-04T12:12:00.000Z,TRUE,FALSE,TRUE,10000,0,17000,30000,pln,0,SQL,3,Java,5,Spring,5
Senior Software Engineer - JS&PHP,Poznań,PL,javascript,remote,senior,2022-10-01T16:00:09.292Z,TRUE,TRUE,FALSE,400,500,17000,20100,pln,0,PHP,3,TypeScript,4,JavaScript,4
IT Project Manager,Gdańsk,PL,pm,remote,senior,2022-11-13T22:00:09.524Z,FALSE,TRUE,FALSE,40,0,17000,22000,pln,0,English,4,JIRA,4,IT Project Management,4
ABAP Developer,Warszawa,PL,erp,partly_remote,mid,2022-06-24T13:00:00.000Z,FALSE,FALSE,FALSE,2,0,17000,23000,pln,0,SAP HANA,4,ABAP,4,SAP,4
Java Developer,Warszawa,PL,java,remote,senior,2022-04-24T14:00:00.000Z,FALSE,TRUE,FALSE,2,0,17000,25000,pln,0,Kotlin,5,Spring Boot,5,Java,5
Java Developer,Poznań,PL,java,remote,senior,2022-04-27T12:00:16.787Z,FALSE,TRUE,FALSE,2,0,17000,25000,pln,0,Kotlin,5,Spring Boot,5,Java,5
Software Engineer,Chorzów,PL,java,remote,mid,2022-10-02T11:00:11.346Z,FALSE,TRUE,FALSE,8000,0,17000,20000,pln,0,Cloud,4,Microservice Architecture,4,Java,4
Front-end Developer,Kraków,PL,javascript,remote,mid,2022-07-08T08:28:00.000Z,TRUE,TRUE,TRUE,120,130,17000,19500,pln,0,Git,3,JavaScript,4,Vue.js,4
Python Developer,Kraków,PL,python,remote,mid,2022-06-21T07:43:00.000Z,TRUE,TRUE,TRUE,120,130,17000,19500,pln,0,Git,3,Flask,4,Python,5
NLP Engineer,Kraków,PL,python,remote,mid,2022-06-15T07:42:00.000Z,TRUE,TRUE,FALSE,120,130,17000,19500,pln,0,PyTorch,4,TensorFlow,4,Python,5
Senior Frontend Engineer,Gdańsk,PL,javascript,remote,senior,2022-10-25T12:00:15.020Z,TRUE,TRUE,FALSE,600,0,17000,33000,pln,0,React,3,Node.js,4,TypeScript,5
Senior Fullstack Developer,Gdańsk,PL,javascript,remote,senior,2022-10-25T12:00:15.020Z,TRUE,TRUE,FALSE,600,0,17000,33000,pln,0,Vue.js,4,Java,4,JavaScript,5
"Senior Back-end Engineer, Match&Search",Kraków,PL,go,remote,senior,2022-10-24T13:00:00.000Z,TRUE,TRUE,TRUE,350,0,17000,26000,pln,0,Clean Architecture,4,PostreSQL,4,general-purpose programming language,4
"Senior Front-end Engineer, Tutoring",Kraków,PL,javascript,remote,senior,2022-10-01T14:00:09.999Z,TRUE,TRUE,TRUE,350,0,17000,26000,pln,0,TypeScript,4,React,4,ESNext,4
"Senior Back-end Engineer, CMS",Kraków,PL,go,remote,senior,2022-09-30T09:00:11.806Z,TRUE,TRUE,TRUE,350,0,17000,26000,pln,0,TDD,4,PostgreSQL,4,general-purpose programming language,4
"Senior Android Engineer, App Experience",Kraków,PL,mobile,remote,senior,2022-09-28T14:00:09.141Z,TRUE,TRUE,TRUE,350,0,17000,26000,pln,0,Android Jetpack,4,Dagger2,4,Kotlin,4
Senior Data Engineer,Wrocław,PL,data,remote,senior,2022-07-28T14:24:00.000Z,TRUE,TRUE,TRUE,350,0,17000,24000,pln,0,Redshift,4,Python,4,AWS,4
"Senior Data Engineer, Search Systems",Kraków,PL,data,remote,senior,2022-06-24T11:21:00.000Z,TRUE,TRUE,TRUE,350,0,17000,26000,pln,0,Python,4,Apache Spark,4,AWS,4
"Delivery Manager, Monetization",Kraków,PL,other,remote,mid,2022-06-20T10:29:00.000Z,TRUE,TRUE,TRUE,350,0,17000,24000,pln,0,hiring and performance management,4,Building Relationships,4,English,4
"Delivery Manager, Tutoring",Gdańsk,PL,other,remote,senior,2022-06-17T09:26:23.244Z,TRUE,TRUE,TRUE,350,0,17000,24000,pln,0,English,4,People Management,4,Agile,4
"Full-stack Engineer, Tutoring",Kraków,PL,go,remote,senior,2022-05-25T13:41:00.000Z,TRUE,TRUE,TRUE,350,0,17000,26000,pln,0,Databases,4,Microservices,4,general purpose programming language,4
"Back-end Engineer, Tutoring",Kraków,PL,go,remote,senior,2022-05-25T13:37:00.000Z,TRUE,TRUE,TRUE,350,0,17000,26000,pln,0,Databases,4,Microservices,4,general purpose programming language,4
"Delivery Manager, CMS",Kraków,PL,pm,remote,mid,2022-04-28T10:55:00.000Z,TRUE,TRUE,TRUE,350,0,17000,24000,pln,0,cooperating with Product Managers,4,Project Management,4,software engineering team management,4
Senior Android Engineer,Kraków,PL,mobile,remote,senior,2022-04-25T14:00:15.232Z,TRUE,TRUE,TRUE,150,0,17000,26000,pln,0,Kotlin,4,Android,4,SOLID Principles,5
"Delivery Manager, Payments Systems",Kraków,PL,pm,remote,senior,2022-04-23T13:00:11.733Z,TRUE,TRUE,TRUE,350,0,17000,28000,pln,0,integrating payment methods,3,English,4,Agile Development,4
Senior Front-end Developer,Kraków,PL,javascript,remote,senior,2022-04-22T14:02:00.000Z,TRUE,TRUE,TRUE,350,0,17000,26000,pln,0,CI/CD,4,TypeScript,4,React,4
Senior Data Engineer,Poznań,PL,data,remote,senior,2022-04-22T09:12:00.000Z,TRUE,TRUE,TRUE,350,0,17000,26000,pln,0,Redshift,4,SQL,4,Snowflake,4
Senior Android Engineer,Poznań,PL,mobile,remote,senior,2022-04-25T14:00:15.232Z,TRUE,TRUE,TRUE,150,0,17000,26000,pln,0,Kotlin,4,Android,4,SOLID Principles,5
Product Operations Manager,Kraków,PL,pm,remote,senior,2022-04-09T14:00:12.943Z,TRUE,TRUE,FALSE,350,0,17000,26000,pln,0,Communication Skills,5,Project Management,5,Product Management,5
Senior Java Software Engineer,Opole,PL,java,partly_remote,senior,2022-11-12T15:00:09.899Z,TRUE,FALSE,TRUE,3000,0,17000,25000,pln,0,Spring Boot,4,Spring,4,Java 17,4
Software Engineer (iOS) (mid/senior),Kraków,PL,mobile,remote,mid,2022-10-02T13:00:10.095Z,TRUE,TRUE,TRUE,5000,0,17000,30000,pln,0,Backend,3,iOS,3,iOS SDK,3
Full Stack Developer (Java+React),Kraków,PL,java,remote,mid,2022-11-14T10:00:09.436Z,TRUE,TRUE,TRUE,3500,0,17000,24000,pln,0,Microservices,3,Spring,3,Java,4
Backend Developer (Node.js),Wrocław,PL,javascript,remote,mid,2022-11-12T08:00:14.892Z,FALSE,TRUE,TRUE,3500,0,17000,22000,pln,0,TypeScript,4,JavaScript,4,Node.js,4
Android Developer,Wrocław,PL,mobile,remote,mid,2022-10-01T19:00:10.359Z,TRUE,TRUE,TRUE,3500,0,17000,20000,pln,0,Java,4,English,4,Android,4
Python Developer,Kraków,PL,python,remote,mid,2022-10-01T12:00:14.826Z,TRUE,TRUE,TRUE,3500,0,17000,20000,pln,0,GitFLow,3,VCS,3,Python,3
SAP FI / CO Functional Consultant,Wrocław,PL,erp,partly_remote,senior,2022-07-11T08:38:25.090Z,TRUE,FALSE,TRUE,250,0,17000,21000,pln,0,SAP HANA,3,unknown,0,unknown,0
Senior Software Developer (Python/.Net),Kraków,PL,python,partly_remote,mid,2022-05-25T22:35:00.000Z,TRUE,FALSE,FALSE,250,0,17000,21000,pln,0,Python,4,AWS,4,.Net,4
Scrum Master,Wrocław,PL,pm,remote,mid,2022-03-27T15:00:18.683Z,TRUE,TRUE,,250,0,17000,18000,pln,0,Agile,3,Scrum,3,Scrum Master,3
Fullstack Developer #Java #React,Warszawa,PL,java,remote,mid,2022-02-20T12:00:25.185Z,TRUE,TRUE,,250,0,17000,28000,pln,0,SQL,2,React,3,Java,3
Senior Data Scientist,Warszawa,PL,analytics,remote,senior,2022-04-25T15:00:32.309Z,TRUE,TRUE,TRUE,400,0,17000,21000,pln,0,Git,3,Python,4,Machine Learning,4
Senior UX/UI Designer,Wrocław,PL,ux,remote,senior,2022-07-07T23:54:00.000Z,TRUE,TRUE,TRUE,100,200,17000,22000,pln,0,ux ui,5,unknown,0,unknown,0
IT Manager,Wrocław,PL,admin,remote,senior,2022-05-26T13:50:00.000Z,TRUE,TRUE,TRUE,100,200,17000,24000,pln,0,iso27001,2,ISO,2,unknown,0
Senior iOS Developer,Wrocław,PL,mobile,remote,senior,2022-04-25T08:00:24.723Z,TRUE,TRUE,TRUE,100,200,17000,30000,pln,0,API,4,Swift,4,iOS SDK,4
Senior iOS Developer,Rzeszów,PL,mobile,remote,senior,2022-04-13T09:00:21.238Z,TRUE,TRUE,TRUE,100,200,17000,30000,pln,0,API,4,Swift,4,iOS SDK,4
Agile Coach,Gdańsk,PL,pm,partly_remote,mid,2022-04-26T09:00:26.127Z,TRUE,FALSE,TRUE,1000,0,17000,24000,pln,0,Agile,4,unknown,0,unknown,0
Technical Lead,Warszawa,PL,php,partly_remote,senior,2022-06-06T13:13:00.000Z,TRUE,FALSE,TRUE,400,0,17000,22000,pln,0,Laravel,4,Leadership,4,PHP,4
